id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
501687,antlr/antlr4,false,,,,3431,Java,dev,BSD-3-Clause,http://antlr.org,18788,18788,,70649,2010-02-04T01:36:28Z,2026-02-16T21:29:09Z,2026-03-14T14:32:41Z,,1052,,,,,,,2026-02-16T21:29:09Z,,false,false,false,,,,antlr;antlr4;cpp;csharp;dart;golang;grammar;java;javascript;language-recognition;parse;parser-generator;parsing;php;python;swift
12731904,cjlin1/libsvm,false,,,,1641,Java,master,BSD-3-Clause,https://www.csie.ntu.edu.tw/~cjlin/libsvm/,4695,4695,,9967,2013-09-10T14:32:07Z,2025-12-29T11:23:20Z,2026-03-10T13:51:33Z,,112,,,,,,,2025-12-29T11:23:20Z,,true,false,false,,,,
124743561,LinShunKang/MyPerf4J,false,,,,558,Java,develop,BSD-3-Clause,,3567,3567,,1169,2018-03-11T09:58:44Z,2025-11-16T13:23:54Z,2026-03-11T09:20:45Z,,4,,,,,,,2025-11-16T13:23:54Z,,true,false,false,,,,agent;apm;bytecode;diagnosis;java-agent;jvm-monitor;metrics;microservices;monitor;monitoring;monitoring-tool;observability;performance;performance-analysis;performance-metrics;performance-monitoring;performance-tuning;performance-visualization;profiler;profiling
114649434,NordicSemiconductor/Android-BLE-Library,false,,,,451,Java,main,BSD-3-Clause,,2346,2346,,3124,2017-12-18T14:17:43Z,2026-02-05T09:43:30Z,2026-03-13T08:39:10Z,,45,,,,,,,2026-02-05T09:43:30Z,,false,false,false,,,,
162236965,controlsfx/controlsfx,false,,,,294,Java,master,BSD-3-Clause,https://controlsfx.org,1691,1691,,27915,2018-12-18T05:52:08Z,2025-12-09T04:56:30Z,2026-03-04T13:21:04Z,,510,,,,,,,2025-12-09T04:56:30Z,,true,false,false,,,,controlsfx;javafx
27657786,happyfish100/fastdfs-client-java,false,,,,899,Java,master,BSD-3-Clause,,1616,1616,,290,2014-12-07T03:19:50Z,2025-12-19T03:23:06Z,2026-03-03T23:54:41Z,,82,,,,,,,2025-12-19T03:23:06Z,,true,false,false,,,,
17974460,wakatime/jetbrains-wakatime,false,,,,187,Java,master,BSD-3-Clause,https://wakatime.com/intellij-idea,1223,1223,,6205,2014-03-21T09:20:13Z,2026-02-14T03:14:22Z,2026-03-02T09:30:14Z,,41,,,,,,,2026-02-14T03:14:22Z,,false,false,false,,,,androidstudio-plugin;appcode-plugin;datagrip-plugin;gogland-plugin;intellij-plugin;phpstorm-plugin;pycharm-plugin;rider-plugin;rubymine-plugin;time-tracking;webstorm-plugin
17084567,dnsjava/dnsjava,false,,,,260,Java,master,BSD-3-Clause,,1064,1064,,7955,2014-02-22T12:43:49Z,2026-02-28T15:45:13Z,2026-03-11T07:13:57Z,,16,,,,,,,2026-02-28T15:45:13Z,,false,false,false,,,,dns;dnsjava;dnssec;dnssec-support;java;java-library;library
12554522,ical4j/ical4j,false,,,,214,Java,develop,BSD-3-Clause,https://www.ical4j.org,827,827,,24899,2013-09-03T03:52:25Z,2026-02-27T07:34:20Z,2026-02-27T07:34:24Z,,167,,,,,,,2026-02-27T07:34:20Z,,false,false,false,,,,icalendar;java;library;scheduling
15440789,skadistats/clarity,false,,,,127,Java,master,BSD-3-Clause,,733,733,,4775,2013-12-25T21:27:19Z,2025-12-16T20:47:53Z,2026-03-13T03:33:23Z,,23,,,,,,,2025-12-16T20:47:53Z,,true,false,false,,,,
