id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
931135,Leaflet/Leaflet,false,,,,6093,JavaScript,main,BSD-2-Clause,https://leafletjs.com,44545,44545,,59883,2010-09-22T16:57:44Z,2026-02-24T08:53:24Z,2026-02-25T02:23:57Z,563,563,,,,,,,2026-02-24T08:53:24Z,,false,false,false,,,,javascript;leaflet;maps
14158237,copy/v86,false,,,,1708,JavaScript,master,BSD-2-Clause,https://copy.sh/v86/,22200,22200,,16012,2013-11-06T00:12:12Z,2026-02-03T02:25:52Z,2026-02-24T15:03:36Z,121,121,,,,,,,2026-02-03T02:25:52Z,,true,false,false,,,,emulator;virtualization;wasm;x86
11205780,motdotla/dotenv,false,,,,929,JavaScript,master,BSD-2-Clause,https://www.dotenv.org,20295,20295,,2079,2013-07-05T18:25:05Z,2026-02-18T08:21:48Z,2026-02-24T21:38:06Z,5,5,,,,,,,2026-02-18T08:21:48Z,,false,false,false,,,,configuration-file;dotenv;env;environment-variables;javascript;node;nodejs;secret-management;secret-manager;secrets;security-tools
4723248,openlayers/openlayers,false,,,,3155,JavaScript,main,BSD-2-Clause,https://openlayers.org,12342,12342,,140595,2012-06-20T06:53:59Z,2026-02-22T18:26:15Z,2026-02-24T00:29:59Z,885,885,,,,,,,2026-02-22T18:26:15Z,,true,false,false,,,,javascript;maps;openlayers
5351666,mozilla/nunjucks,false,,,,650,JavaScript,master,BSD-2-Clause,https://mozilla.github.io/nunjucks/,8899,8899,,8177,2012-08-09T05:40:44Z,2026-02-07T15:11:07Z,2026-02-24T22:20:28Z,352,352,,,,,,,2026-02-07T15:11:07Z,,false,false,false,,,,
9107190,mwilliamson/mammoth.js,false,,,,647,JavaScript,master,BSD-2-Clause,,6104,6104,,1320,2013-03-29T21:41:02Z,2025-11-20T15:16:13Z,2026-02-25T02:47:46Z,61,61,,,,,,,2025-11-20T15:16:13Z,,true,false,false,,,,
63014033,hovancik/stretchly,false,,,,511,JavaScript,trunk,BSD-2-Clause,https://hovancik.net/stretchly,5955,5955,,77807,2016-07-10T19:01:00Z,2026-02-23T10:36:43Z,2026-02-25T02:36:22Z,99,99,,,,,,,2026-02-23T10:36:43Z,,false,false,false,,,,breaks;bsd;electron;linux;longer-breaks;macos;reminder;windows
68071289,talebook/talebook,false,,,,591,JavaScript,master,BSD-2-Clause,https://www.talebook.org,5299,5299,,94944,2016-09-13T03:35:40Z,2026-02-24T03:46:36Z,2026-02-25T00:44:42Z,137,137,,,,,,,2026-02-24T03:46:36Z,,true,false,false,,,,
8138462,yeoman/yo,false,,,,406,JavaScript,main,BSD-2-Clause,http://yeoman.io,3949,3949,,3990,2013-02-11T13:24:05Z,2026-02-20T22:40:50Z,2026-02-22T11:01:01Z,42,42,,,,,,,2026-02-20T22:40:50Z,,false,false,false,,,,generator;javascript;nodejs;scaffolding;templates;yeoman
5987222,airbnb/polyglot.js,false,,,,208,JavaScript,master,BSD-2-Clause,http://airbnb.github.io/polyglot.js,3727,3727,,737,2012-09-27T19:10:37Z,2025-11-06T00:54:17Z,2026-02-18T14:16:44Z,16,16,,,,,,,2025-11-06T00:54:17Z,,false,false,false,,,,
10186000,pissang/claygl,false,,,,300,JavaScript,master,BSD-2-Clause,,2854,2854,,60436,2013-05-21T02:09:59Z,2025-12-18T04:01:32Z,2026-02-07T19:15:18Z,42,42,,,,,,,2025-12-18T04:01:32Z,,true,false,false,,,,3d;gltf;visualization;webgl
27620277,eslint/js,false,,,,222,JavaScript,main,BSD-2-Clause,,2375,2375,,87003,2014-12-06T03:07:34Z,2026-02-20T21:25:24Z,2026-02-25T00:55:08Z,8,8,,,,,,,2026-02-20T21:25:24Z,,false,false,false,,,,
3950765,leaflet-extras/leaflet-providers,false,,,,726,JavaScript,master,BSD-2-Clause,https://leaflet-extras.github.io/leaflet-providers/preview/,2339,2339,,1023,2012-04-06T15:22:06Z,2026-02-24T00:31:13Z,2026-02-23T05:40:41Z,21,21,,,,,,,2026-02-24T00:31:13Z,,true,false,false,,,,leaflet
4939243,macbre/phantomas,false,,,,137,JavaScript,devel,BSD-2-Clause,https://www.npmjs.com/package/phantomas,2262,2262,,7161,2012-07-07T16:28:54Z,2026-02-05T15:54:56Z,2026-02-18T04:34:45Z,62,62,,,,,,,2026-02-05T15:54:56Z,,true,false,false,,,,automation;chromium;css;developer-tools;dom;domquery;headless-chrome;http2;http3;javascript;jquery;metrics;phantomas;puppeteer;webperf;webperformance
207296055,matthewp/robot,false,,,,94,JavaScript,main,BSD-2-Clause,https://regularhuman.dev,2148,2148,,1136,2019-09-09T11:44:29Z,2025-12-11T13:30:28Z,2026-02-24T19:12:58Z,15,15,,,,,,,2025-12-11T13:30:28Z,,true,false,false,,,,
14507119,bumbu/svg-pan-zoom,false,,,,396,JavaScript,master,BSD-2-Clause,https://github.com/ariutta/svg-pan-zoom#demos,1948,1948,,7594,2013-11-18T22:22:59Z,2026-01-16T15:19:50Z,2026-02-23T00:52:34Z,122,122,,,,,,,2026-01-16T15:19:50Z,,true,false,false,,,,
2550451,twigjs/twig.js,false,,,,273,JavaScript,master,BSD-2-Clause,,1918,1918,,12984,2011-10-10T19:36:23Z,2026-02-19T20:33:10Z,2026-02-19T17:56:46Z,66,66,,,,,,,2026-02-19T20:33:10Z,,true,false,false,,,,twig;twigjs
89137502,psi-4ward/psitransfer,false,,,,244,JavaScript,master,BSD-2-Clause,,1846,1846,,2804,2017-04-23T11:40:49Z,2026-02-14T14:41:55Z,2026-02-24T09:51:48Z,104,104,,,,,,,2026-02-14T14:41:55Z,,true,false,false,,,,file-sharing;pastebin;transfer-files;upload
7420521,s-macke/jor1k,false,,,,213,JavaScript,master,BSD-2-Clause,http://jor1k.com,1789,1789,,98716,2013-01-03T09:33:13Z,2025-11-01T14:53:27Z,2026-02-21T10:08:17Z,51,51,,,,,,,2025-11-01T14:53:27Z,,true,false,false,,,,emulator;javascript;linux;openrisc
27050722,motdotla/node-lambda,false,,,,185,JavaScript,master,BSD-2-Clause,,1356,1356,,3533,2014-11-23T22:35:42Z,2026-02-24T23:14:46Z,2026-02-23T11:52:40Z,37,37,,,,,,,2026-02-24T23:14:46Z,,false,false,false,,,,
8233127,buttons/github-buttons,false,,,,258,JavaScript,main,BSD-2-Clause,https://buttons.github.io,1131,1131,,7179,2013-02-16T07:49:45Z,2026-02-23T02:47:58Z,2026-02-23T02:47:30Z,0,0,,,,,,,2026-02-23T02:47:58Z,,false,false,false,,,,button;component;frontend;github
93514862,react-native-community/jsc-android-buildscripts,false,,,,102,JavaScript,main,BSD-2-Clause,,1066,1066,,132597,2017-06-06T12:17:23Z,2025-12-13T09:27:04Z,2026-01-13T19:06:53Z,51,51,,,,,,,2025-12-13T09:27:04Z,,false,false,false,,,,
50004406,motdotla/dotenv-expand,false,,,,96,JavaScript,master,BSD-2-Clause,https://dotenvx.com,1049,1049,,898,2016-01-20T04:30:26Z,2026-01-21T23:20:40Z,2026-02-19T21:32:50Z,3,3,,,,,,,2026-01-21T23:20:40Z,,false,false,false,,,,dotenv
158993879,omarciovsena/abibliadigital,false,,,,157,JavaScript,master,BSD-2-Clause,http://www.abibliadigital.com.br,943,943,,7406,2018-11-25T03:20:03Z,2026-02-18T18:07:41Z,2026-02-21T21:17:36Z,65,65,,,,,,,2026-02-18T18:07:41Z,,true,false,false,,,,api;bible;bibleapi;hacktoberfest;restfull-api
26675859,felixhayashi/TW5-TiddlyMap,false,,,,134,JavaScript,master,BSD-2-Clause,http://tiddlymap.org,909,909,,28035,2014-11-15T09:53:38Z,2026-01-21T23:13:00Z,2026-02-10T04:08:34Z,56,56,,,,,,,2026-01-21T23:13:00Z,,true,false,false,,,,concept-map;dataviz;draw-maps;knowledge-graph;knowledge-graphs-embeddings;knowledge-management;mind-map;network-visualization;semantic-networks;tiddlywiki;tiddlywiki-plugin;visualization;wiki
6672900,sindresorhus/configstore,false,,,,56,JavaScript,main,BSD-2-Clause,,887,887,,109,2012-11-13T15:34:24Z,2026-01-24T13:12:53Z,2026-01-24T13:12:58Z,0,0,,,,,,,2026-01-24T13:12:53Z,,false,false,false,,,,
16640012,potree/PotreeConverter,false,,,,465,JavaScript,develop,BSD-2-Clause,http://potree.org,783,783,,33060,2014-02-08T09:23:58Z,2025-12-27T16:10:35Z,2026-02-21T14:16:24Z,184,184,,,,,,,2025-12-27T16:10:35Z,,true,false,false,,,,
143185711,tilk/digitaljs,false,,,,62,JavaScript,master,BSD-2-Clause,,751,751,,7928,2018-08-01T17:10:12Z,2026-02-10T13:35:25Z,2026-02-13T21:53:49Z,12,12,,,,,,,2026-02-10T13:35:25Z,,true,false,false,,,,circuit-simulator;digital-logic;logic-circuit-simulator;logic-gates;simulator
15172553,macbre/analyze-css,false,,,,26,JavaScript,master,BSD-2-Clause,https://www.npmjs.com/package/analyze-css,699,699,,5139,2013-12-13T19:51:19Z,2026-02-24T23:24:40Z,2026-02-24T18:50:48Z,12,12,,,,,,,2026-02-24T23:24:40Z,,false,false,false,,,,css;css-selectors-complexity;css-source;dart-sass;metrics;performance-analyzer;phantomas;sass;webperf;webperformance
29463371,gsi-cyberjapan/gsimaps,false,,,,676,JavaScript,gh-pages,BSD-2-Clause,,696,696,,42546,2015-01-19T09:30:34Z,2026-02-20T02:04:24Z,2026-02-20T02:04:29Z,18,18,,,,,,,2026-02-20T02:04:24Z,,true,false,false,,,,
12472709,gallantlab/pycortex,false,,,,145,JavaScript,main,BSD-2-Clause,https://gallantlab.github.io/pycortex,648,648,,688215,2013-08-29T22:33:10Z,2026-02-23T01:00:41Z,2026-02-23T01:00:45Z,102,102,,,,,,,2026-02-23T01:00:41Z,,true,false,false,,,,fmri;neuroimaging;python;surface-visualization
70202630,morgan3d/markdeep,false,,,,52,JavaScript,master,BSD-2-Clause,https://casual-effects.com/markdeep,623,623,,2354,2016-10-07T00:07:32Z,2025-12-22T04:02:55Z,2026-02-11T17:29:35Z,0,0,,,,,,,2025-12-22T04:02:55Z,,false,false,false,,,,calendar;diagram;ebook;formatting;html;javascript;markdeep;markdown;publishing
45087898,NuSkooler/enigma-bbs,false,,,,116,JavaScript,master,BSD-2-Clause,https://nuskooler.github.io/enigma-bbs/,621,621,,16476,2015-10-28T04:02:01Z,2026-01-21T23:22:07Z,2026-02-18T12:45:02Z,76,76,,,,,,,2026-01-21T23:22:07Z,,true,false,false,,,,activitypub-server;ansi;ascii;bbs;bulletin-board;fidonet;gopher;nntp-server;retro;retrocomputing;ssh;ssh-server;telnet;terminal
7636316,mpetazzoni/leaflet-gpx,false,,,,126,JavaScript,main,BSD-2-Clause,http://mpetazzoni.github.io/leaflet-gpx,611,611,,400,2013-01-16T00:40:29Z,2026-01-04T06:07:38Z,2026-02-23T14:57:38Z,10,10,,,,,,,2026-01-04T06:07:38Z,,false,false,false,,,,gps-track;gpx;leaflet-gpx;leaflet-plugin
99673273,elastic/apm-agent-nodejs,false,,,,240,JavaScript,main,BSD-2-Clause,https://www.elastic.co/guide/en/apm/agent/nodejs/current/index.html,594,594,,37680,2017-08-08T09:07:27Z,2026-02-25T00:54:05Z,2026-02-24T16:54:49Z,364,364,,,,,,,2026-02-25T00:54:05Z,,false,false,false,,,,apm;devops;distributed-tracing;error-monitoring;nodejs;performance-metrics;performance-monitoring;tracing
62893157,hypothesis/browser-extension,false,,,,138,JavaScript,main,BSD-2-Clause,,532,532,,18714,2016-07-08T14:06:59Z,2026-02-24T14:13:13Z,2026-02-24T14:13:17Z,53,53,,,,,,,2026-02-24T14:13:13Z,,true,false,false,,,,annotation;browser-extension;chrome;firefox;hypothesis
