id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
15830664,mkdocs/mkdocs,false,,,,2599,Python,master,BSD-2-Clause,https://www.mkdocs.org,21814,21814,,33238,2014-01-11T21:05:21Z,2025-10-20T13:17:06Z,2026-03-07T06:25:03Z,144,144,,,,,,,2025-10-20T13:17:06Z,,true,false,false,,,,documentation;markdown;mkdocs;python;static-site-generator
576103395,m-bain/whisperX,false,,,,2172,Python,main,BSD-2-Clause,,20544,20544,,40726,2022-12-09T02:34:23Z,2026-02-22T16:12:56Z,2026-03-07T12:44:30Z,193,193,,,,,,,2026-02-22T16:12:56Z,,false,false,false,,,,asr;speech;speech-recognition;speech-to-text;whisper
261515636,matplotlib/cheatsheets,false,,,,926,Python,main,BSD-2-Clause,https://matplotlib.org/cheatsheets/,7651,7651,,24183,2020-05-05T15:50:03Z,2025-12-15T02:18:36Z,2026-03-04T14:40:47Z,21,21,,,,,,,2025-12-15T02:18:36Z,,true,false,false,,,,cheatsheet;matplotlib;python
692528,stephenmcd/mezzanine,false,,,,1614,Python,master,BSD-2-Clause,http://mezzanine.jupo.org,4830,4830,,54266,2010-05-29T12:16:55Z,2026-02-14T19:30:17Z,2026-03-07T04:33:23Z,59,59,,,,,,,2026-02-14T19:30:17Z,,true,false,false,,,,
3587206,pyinvoke/invoke,false,,,,385,Python,main,BSD-2-Clause,http://pyinvoke.org,4723,4723,,5393,2012-02-29T23:59:23Z,2025-10-20T02:48:25Z,2026-03-05T02:56:53Z,441,441,,,,,,,2025-10-20T02:48:25Z,,false,false,false,,,,
7433211,jmcnamara/XlsxWriter,false,,,,663,Python,main,BSD-2-Clause,https://xlsxwriter.readthedocs.io,3914,3914,,281140,2013-01-04T01:07:06Z,2026-01-28T17:55:09Z,2026-03-04T03:47:17Z,26,26,,,,,,,2026-01-28T17:55:09Z,,false,false,false,,,,charts;libxlsxwriter;pandas;python;spreadsheet;xlsx;xlsx-files;xlsxwriter
56998522,skorokithakis/catt,false,,,,165,Python,master,BSD-2-Clause,,3633,3633,,574,2016-04-24T23:10:20Z,2025-10-19T14:55:19Z,2026-03-07T00:25:48Z,54,54,,,,,,,2025-10-19T14:55:19Z,,true,false,false,,,,
397204262,jonaslejon/malicious-pdf,false,,,,462,Python,main,BSD-2-Clause,,3619,3619,,72,2021-08-17T10:10:12Z,2025-11-14T13:15:09Z,2026-03-07T11:59:08Z,5,5,,,,,,,2025-11-14T13:15:09Z,,false,false,false,,,,bugbounty;bugbounty-tool;pdf;pdf-generation;penetration-test;penetration-testing;penetrationtesting;pentesting;pentesting-tools;python;redteam;redteaming;scanner
8568252,pinry/pinry,false,,,,366,Python,master,BSD-2-Clause,https://pinry.github.io/pinry/,3339,3339,,9819,2013-03-05T00:17:31Z,2026-01-05T16:46:25Z,2026-03-06T12:19:21Z,63,63,,,,,,,2026-01-05T16:46:25Z,,false,false,false,,,,django;huaban;images;node;pinterest;python;self-hosted;vue
107898477,babybuddy/babybuddy,false,,,,335,Python,master,BSD-2-Clause,http://docs.baby-buddy.net/,2696,2696,,69736,2017-10-22T20:02:57Z,2026-02-28T15:04:09Z,2026-03-06T09:31:57Z,142,142,,,,,,,2026-02-28T15:04:09Z,,false,false,false,,,,baby;dashboard;django;parenting;parents;python;self-hosted;tracker
2864002,Nandaka/PixivUtil2,false,,,,284,Python,master,BSD-2-Clause,http://nandaka.devnull.zone/,2613,2613,,14584,2011-11-28T01:14:34Z,2026-02-25T23:14:31Z,2026-03-06T19:13:42Z,183,183,,,,,,,2026-02-25T23:14:31Z,,true,false,false,,,,
525251235,tangxyw/RecSysPapers,false,,,,262,Python,main,BSD-2-Clause,https://tangxyw.github.io/,2067,2067,,1727344,2022-08-16T06:06:39Z,2025-12-04T03:51:14Z,2026-03-07T12:50:29Z,1,1,,,,,,,2025-12-04T03:51:14Z,,true,false,false,,,,calibration;causal-inference;cold-start;contrastive-learning;debias;distillation;diverse;fairness;feedback-delay;look-alike;match;multi-modal;multi-scenario;multi-task;papers;pre-rank;rank;re-rank;recommendation-system;reinforcement-learning
20236160,thebjorn/pydeps,false,,,,132,Python,master,BSD-2-Clause,https://pydeps.readthedocs.io/en/latest/,2060,2060,,840,2014-05-27T21:29:01Z,2026-01-06T16:49:19Z,2026-03-06T22:46:05Z,47,47,,,,,,,2026-01-06T16:49:19Z,,true,false,false,,,,
