panel_id,panel,bucket,total,found,prevalence_pct
(a),Stars,<100,105884,2101,1.9842469117147066
(a),Stars,100-499,31487,697,2.2136119668434593
(a),Stars,500-4999,16784,551,3.282888465204957
(a),Stars,>=5000,3257,256,7.859993859379798
(b),Contributors,0-1,29054,665,2.2888414676120328
(b),Contributors,2-5,56018,1306,2.3313934806669283
(b),Contributors,6-20,43655,772,1.7684114076279922
(b),Contributors,21-100,23306,555,2.3813610229125546
(b),Contributors,101+,5376,306,5.691964285714286
(c),Repository size,<1 MB,56871,685,1.204480315099084
(c),Repository size,1-<10 MB,54126,1230,2.2724753353286777
(c),Repository size,10-<100 MB,35152,1167,3.3198680018206645
(c),Repository size,100+ MB,11263,523,4.643523040042617
(d),Project age,<1 year,34732,2083,5.9973511459173094
(d),Project age,1-<3 years,36249,647,1.7848768241882536
(d),Project age,3-<5 years,27287,316,1.1580606149448456
(d),Project age,5+ years,59144,559,0.9451508183416746
