artifact_a,artifact_b,count_a,count_b,intersection_count,union_count,jaccard,conditional_b_given_a,conditional_a_given_b,lift,phi,expected_intersection_if_independent
CLAUDE.md,CLAUDE.md,1514,1514,1514,1514,1.0,1.0,1.0,2.2972,1.0,659.06
CLAUDE.md,AGENTS.md,1514,1281,723,2072,0.3489,0.4775,0.5644,1.2966,0.1988,557.63
CLAUDE.md,copilot-instructions.md,1514,354,150,1718,0.0873,0.0991,0.4237,0.9734,-0.0079,154.1
CLAUDE.md,GEMINI.md,1514,99,68,1545,0.044,0.0449,0.6869,1.5779,0.0868,43.1
AGENTS.md,AGENTS.md,1281,1281,1281,1281,1.0,1.0,1.0,2.7151,1.0,471.81
AGENTS.md,copilot-instructions.md,1281,354,165,1470,0.1122,0.1288,0.4661,1.2655,0.0682,130.38
AGENTS.md,GEMINI.md,1281,99,63,1317,0.0478,0.0492,0.6364,1.7278,0.0951,36.46
copilot-instructions.md,copilot-instructions.md,354,354,354,354,1.0,1.0,1.0,9.8249,1.0,36.03
copilot-instructions.md,GEMINI.md,354,99,21,432,0.0486,0.0593,0.2121,2.0841,0.0625,10.08
GEMINI.md,GEMINI.md,99,99,99,99,1.0,1.0,1.0,35.1313,1.0,2.82
