file,dataset,label,count,pct_docs
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,Documentation,1,3.57
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,Requirements,2,7.14
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,Software Design,7,25.0
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,Code Generation,7,25.0
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,Software Testing,11,39.29
2026-04-19_CY_Final_Labels_Both_Python.json,CY 2026-04-19 Both Python,DevOps,5,17.86
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,Documentation,3,10.34
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,Requirements,0,0.0
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,Software Design,6,20.69
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,Code Generation,11,37.93
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,Software Testing,11,37.93
2026-04-19_MV_Final_Labels_Both_Python.json,MV 2026-04-19 Both Python,DevOps,5,17.24
